RoofAge,BuildingGroup1,BuildingGroup2,ContentsGroup1,ContentsGroup2,ABCGroup1,ABCGroup2
0,0.957,0.957,1.000,1.000,0.957,0.957
1,0.962,0.962,1.000,1.000,0.962,0.962
2,0.967,0.967,1.000,1.000,0.967,0.967
3,0.971,0.971,1.000,1.000,0.971,0.971
4,0.976,0.976,1.000,1.000,0.976,0.976
5,0.980,0.980,1.000,1.000,0.980,0.980
6,0.985,0.985,1.000,1.000,0.985,0.985
7,0.988,0.988,1.000,1.000,0.988,0.988
8,0.990,0.990,1.000,1.000,0.990,0.990
9,0.993,0.993,1.000,1.000,0.993,0.993
10,0.996,0.996,1.000,1.000,0.996,0.996
11-12,0.998,0.998,1.000,1.000,0.998,0.998
13-14,1.000,1.000,1.000,1.000,1.000,1.000
15-18,1.002,1.002,1.000,1.000,1.002,1.002
19-22,1.004,1.004,1.000,1.000,1.004,1.004
23-26,1.005,1.005,1.000,1.000,1.005,1.005
27-30,1.005,1.005,1.000,1.000,1.005,1.005
31-999,1.006,1.006,1.000,1.000,1.006,1.006