ScoreFrom,To,Tier,BuildingGroup1,BuildingGroup2,ContentsGroup1,ContentsGroup2,ABCGroup1,ABCGroup2
200,555,1,1.21,1.21,1.21,1.21,1.21,1.21
556,635,2,1.12,1.12,1.12,1.12,1.12,1.12
636,689,3,1.09,1.09,1.09,1.09,1.09,1.09
690,726,4,1.03,1.03,1.03,1.03,1.03,1.03
727,762,5,1.00,1.00,1.00,1.00,1.00,1.00
763,791,6,0.99,0.99,0.99,0.99,0.99,0.99
792,820,7,0.95,0.95,0.95,0.95,0.95,0.95
821,853,8,0.95,0.95,0.95,0.95,0.95,0.95
854,900,9,0.91,0.91,0.91,0.91,0.91,0.91
901,997,10,0.89,0.89,0.89,0.89,0.89,0.89
998,998,98,1.00,1.00,1.00,1.00,1.00,1.00
999,999,99,1.00,1.00,1.00,1.00,1.00,1.00